Run_5-4-2026_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Center find UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,c1,c2,c3,c4,c5,c6,c7,c8,c9,,,,,,,,,,,,,,,,
UTS-J,East,36,33.76,32.647,33.077,36.7,37.244,39.023,39.368,38.174,,,,,,,,,,,,,,,,
UTS-J,North,-2.989,-2.133,-0.12,2.188,3.677,3.628,2.093,-0.29,-2.23,,,,,,,,,,,,,,,,
UTS-J,Elevation,10.65,10.671,10.692,10.702,10.697,10.681,10.658,10.641,10.638,,,,,,,,,,,,,,,,
-- Center find Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Point J Prime,X,-3322.09,-2007.34,202.167,2344.96,3394.97,2847.24,962.992,-1427.05,-3064.62,,,,,,,,,,,,,,,,
Point J Prime,Y,4524.16,4523.52,4523.52,4524.12,4523.16,4523.52,4523.23,4523.2,4525.12,,,,,,,,,,,,,,,,
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45,,,,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,,,,,,,,,,,,,,,,
-- Test Run UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
Pin 10,Y,2435.93,1100.18,2976.95,3198.68,3007.82,3005.49,3265.85,1127.16,1476.54,1676.25,1844,2126.04,2097.03,1084.72,3030.33,925.272,1856.01,2111.32,2523.45,3036.22,652.685,1873.31,2177.27,2525.72,3210.9
Pin 10,Z,219.346,220.375,219.343,219.687,219.718,644.593,759.203,658.671,739.607,716.165,1172.05,1194.47,1273.7,1105.59,1018.51,1931.3,2363.8,2465.01,2285.98,2165.77,2318.3,2851.23,3220.99,2730.18,2409.61
Pin 12,X,920.09,920.03,920,920.03,920.03,920.03,916,920,919.97,920,919.97,919.97,919.97,919.97,919.97,919.91,919.91,919.88,919.88,919.91,919.88,919.88,919.91,919.88,919.88
Pin 12,Y,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5,1073.5
Pin 12,Z,220.124,220.375,220.375,220.375,220.5,220.5,220.5,220.375,220.5,220.5,220.625,220.625,220.625,220.625,220.625,220.876,220.876,221.002,221.002,220.625,220.876,221.002,221.002,221.002,221.253
Pin 14,X,1068.43,1068.53,1068.41,1068.41,1068.5,1118.14,1118.21,1118.29,1118.32,1118.32,1160.73,1160.73,1160.73,1160.77,1160.61,1233.46,1233.42,1233.39,1233.36,1233.29,1249.85,1249.82,1249.82,1249.82,1249.82
Pin 14,Y,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5
Pin 14,Z,-74.3741,-74.313,-74.3737,-74.2272,-74.3535,-43.2041,-43.4828,-43.097,-43.4017,-43.1239,-5.00824,-5.04105,-5.07393,-5.04109,-4.82301,117.598,118.103,118.059,117.72,117.759,226.82,226.776,226.775,226.605,226.984
Pin 15,X,-100.225,-100.075,-100.075,-100,-100.075,-100,-99.925,-100.075,-99.925,-100.075,-99.925,-99.925,-99.925,-99.925,-99.925,-99.925,-99.775,-99.7,-99.775,-99.7,-99.775,-99.7,-99.7,-99.55,-99.7
Pin 15,Y,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5,768.5
Pin 15,Z,-549.959,-549.986,-549.986,-549.986,-550,-550,-550,-550.014,-549.986,-550,-550.014,-550.014,-550.014,-550.014,-550.014,-550.041,-550.041,-550.041,-550.041,-550.041,-550.041,-550.055,-550.055,-550.041,-550.041
Pin 2,X,1270.09,1270.03,1270.03,1270.03,1270,1264.55,1264.49,1264.47,1264.41,1264.47,1248.63,1248.63,1248.63,1248.62,1248.7,1167.06,1167.06,1167.06,1167.24,1167.4,1071.86,1071.89,1071.91,1071.9,1071.98
Pin 2,Y,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963
Pin 2,Z,219.231,220.375,220.231,220.405,220.279,282.436,282.138,282.624,282.279,282.577,341.005,340.96,340.915,340.96,341.166,468.383,468.86,468.826,468.532,468.59,536.288,536.267,536.267,536.121,536.497
Pin 3,X,1628.43,2164.73,1250.83,1251.03,1250.62,1245.41,1248.86,2135.03,1990.39,1921.73,1798.04,1632.59,1634.07,2086.42,1230.66,1828.54,1554.2,1445.71,1323.81,1153.67,1521.62,1332.11,1256.53,1188.29,1062.73
Pin 3,Y,2722.9,2360.27,2820.5,2820.47,2820.5,2820.5,2820.05,2371.64,2503.4,2555.43,2609.19,2701.8,2700.68,2362.96,2820.47,2315.44,2631.33,2707.82,2770.31,2820.49,2190.92,2600.67,2694.43,2755.86,2820.76
